Configuration[
MAP_NUM_ROWS=15
MAP_NUM_COLS=12
MAX_NUM_MOVING_OBJECTS=8
NUM_WALLS=0
ARRAY_WALLS=[]
NUM_FAKE_WALLS=5
ARRAY_FAKE_WALLS=[(4,8);(7,5);(9,1);(2,4);(2,4)]
SHERLOCK_MOVING_RULE=LRDLR
SHERLOCK_INIT_POS=(14,11)
SHERLOCK_INIT_HP=50
SHERLOCK_INIT_EXP=835
WATSON_MOVING_RULE=URLUR
WATSON_INIT_POS=(5,6)
WATSON_INIT_HP=100
WATSON_INIT_EXP=514
CRIMINAL_INIT_POS=(14,7)
NUM_STEPS=18
]
*********************************************************
ROUND : 0 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |  (W)|     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |     |     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |  (C)|     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 1 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |  (W)|     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |     |     |  (C)|     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 1 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |  (W)|     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |     |     |  (C)|     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 1 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |  (W)|-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |     |     |  (C)|     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 2 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |  (W)|-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |     |  (C)|  (c)|     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 2 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |  (W)|-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |     |  (C)|  (c)|     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 2 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |  (W)|     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |     |  (C)|  (c)|     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 2 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |  (W)|     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |     | (Cc)|     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 3 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |  (W)|     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |  (C)|  (c)|     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 3 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |  (W)|     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |  (C)|  (c)|     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 3 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |  (W)|     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     |  (C)|  (c)|     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 3 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |  (W)|     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |     | (Cc)|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 4 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |  (W)|     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |  (C)|  (c)|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 4 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |  (W)|     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |  (C)|  (c)|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 4 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |  (W)|     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     |  (C)|  (c)|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 4 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |  (W)|     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |     | (Cc)|     |     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 5 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |  (W)|     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |  (C)| (cs)|     |     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 5 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |  (W)|     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |  (C)| (cs)|     |     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 5 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |  (W)|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     |  (C)| (cs)|     |     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 5 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |  (W)|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     | (Cc)|  (s)|     |     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 5 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |  (W)|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |     | (Cc)|     |  (s)|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 6 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |  (W)|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |  (C)|  (c)|     |  (s)|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |  (S)|     |
*********************************************************
ROUND : 6 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |  (W)|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |  (C)|  (c)|     |  (s)|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 6 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |  (W)|     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
   10|     |     |     |     |     |     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |
   12|     |     |  (C)|  (c)|     |  (s)|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |     |     |
   14|     |     |     |     |     |     |     |     |     |     |     |  (S)|
*********************************************************
ROUND : 6 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|
    0|     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |-----|     |     |     |  (W)|     |     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |-----|     |     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |-----|     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |
    9|     |-----|     |     |     |     |     |     |     |     |     |     |
