Configuration[
MAP_NUM_ROWS=8
MAP_NUM_COLS=13
MAX_NUM_MOVING_OBJECTS=10
NUM_WALLS=6
ARRAY_WALLS=[(7,8);(2,10);(5,7);(0,1);(1,5);(1,5)]
NUM_FAKE_WALLS=0
ARRAY_FAKE_WALLS=[]
SHERLOCK_MOVING_RULE=ULUULRRR
SHERLOCK_INIT_POS=(2,9)
SHERLOCK_INIT_HP=41
SHERLOCK_INIT_EXP=798
WATSON_MOVING_RULE=LDRUD
WATSON_INIT_POS=(0,10)
WATSON_INIT_HP=96
WATSON_INIT_EXP=806
CRIMINAL_INIT_POS=(6,2)
NUM_STEPS=5
]
*********************************************************
ROUND : 0 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |     |
    7| (Cc)|     |     |     |     |     |     |     |IIIII|     |     |     |     |
*********************************************************
ROUND : 3 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |IIIII|     |     |     |     |     |     |  (S)|     |     |     |     |
    1|     |     |     |     |     |IIIII|     |     |     |     |  (W)|     |     |
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6|  (C)|     |     |     |     |     |     |     |     |     |     |     |     |
    7|  (c)|     |     |     |     |     |     |     |IIIII|     |     |     |     |
*********************************************************
ROUND : 3 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |IIIII|     |     |     |     |     |     |  (S)|     |     |     |     |
    1|     |     |     |     |     |IIIII|     |     |     |     |  (W)|     |     |
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6|  (C)|     |     |     |     |     |     |     |     |     |     |     |     |
    7|  (c)|     |     |     |     |     |     |     |IIIII|     |     |     |     |
*********************************************************
ROUND : 3 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |IIIII|     |     |     |     |     |     |  (S)|     |  (W)|     |     |
    1|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6|  (C)|     |     |     |     |     |     |     |     |     |     |     |     |
    7|  (c)|     |     |     |     |     |     |     |IIIII|     |     |     |     |
*********************************************************
ROUND : 3 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |IIIII|     |     |     |     |     |     |  (S)|     |  (W)|     |     |
    1|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6| (Cc)|     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |IIIII|     |     |     |     |
*********************************************************
ROUND : 4 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |IIIII|     |     |     |     |     |     |  (S)|     |  (W)|     |     |
    1|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6|  (c)|     |     |     |     |     |     |     |     |     |     |     |     |
    7|  (C)|     |     |     |     |     |     |     |IIIII|     |     |     |     |
*********************************************************
ROUND : 4 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |IIIII|     |     |     |     |     |  (S)|     |     |  (W)|     |     |
    1|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6|  (c)|     |     |     |     |     |     |     |     |     |     |     |     |
    7|  (C)|     |     |     |     |     |     |     |IIIII|     |     |     |     |
*********************************************************
ROUND : 4 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |IIIII|     |     |     |     |     |  (S)|     |     |     |     |     |
    1|     |     |     |     |     |IIIII|     |     |     |     |  (W)|     |     |
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6|  (c)|     |     |     |     |     |     |     |     |     |     |     |     |
    7|  (C)|     |     |     |     |     |     |     |IIIII|     |     |     |     |
*********************************************************
ROUND : 4 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |IIIII|     |     |     |     |     |  (S)|     |     |     |     |     |
    1|     |     |     |     |     |IIIII|     |     |     |     |  (W)|     |     |
    2|     |     |     |     |     |     |     |     |     |     |IIIII|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |IIIII|     |     |     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |     |
    7| (Cc)|     |     |     |     |     |     |     |IIIII|     |     |     |     |
