Configuration[
MAP_NUM_ROWS=9
MAP_NUM_COLS=13
MAX_NUM_MOVING_OBJECTS=9
NUM_WALLS=9
ARRAY_WALLS=[(2,3);(2,1);(2,8);(4,5);(7,11);(5,8);(2,4);(6,1);(6,1)]
NUM_FAKE_WALLS=4
ARRAY_FAKE_WALLS=[(8,9);(3,9);(5,10);(5,10)]
SHERLOCK_MOVING_RULE=LDLLUURD
SHERLOCK_INIT_POS=(7,1)
SHERLOCK_INIT_HP=92
SHERLOCK_INIT_EXP=513
WATSON_MOVING_RULE=RD
WATSON_INIT_POS=(6,0)
WATSON_INIT_HP=40
WATSON_INIT_EXP=634
CRIMINAL_INIT_POS=(6,7)
NUM_STEPS=24
]
*********************************************************
ROUND : 0 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    7|     |     |     |     |     |     |     |     | (ww)|     |  (w)|IIIII|     |
    8|     |     |     |     |     |     |     |     |  (W)|  (w)|     |     |     |
*********************************************************
ROUND : 22 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |  (c)|  (C)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |  (w)|
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     | (ww)|     |  (w)|IIIII|     |
    8|     |     |     |     |     |     |     |     |  (W)|  (w)|     |     |     |
*********************************************************
ROUND : 22 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |  (c)|  (C)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |  (w)|
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     | (ww)|     |  (w)|IIIII|     |
    8|     |     |     |     |     |     |     |     |  (W)|  (w)|     |     |     |
*********************************************************
ROUND : 22 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     | (Cc)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |  (w)|
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     | (ww)|     |  (w)|IIIII|     |
    8|     |     |     |     |     |     |     |     |  (W)|  (w)|     |     |     |
*********************************************************
ROUND : 22 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     | (Cc)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |  (w)|
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |  (w)|     |  (w)|IIIII|     |
    8|     |     |     |     |     |     |     |     | (Ww)|  (w)|     |     |     |
*********************************************************
ROUND : 22 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     | (Cc)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |  (w)|
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |  (w)|IIIII|     |
    8|     |     |     |     |     |     |     |     |(Www)|  (w)|     |     |     |
*********************************************************
ROUND : 22 - TURN : 6
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     | (Cc)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |  (w)|
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |  (w)|IIIII|     |
    8|     |     |     |     |     |     |     |     |(Wwww)|-----|     |     |     |
*********************************************************
ROUND : 22 - TURN : 7
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     | (Cc)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |  (w)|
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |(Wwww)|-----|  (w)|     |     |
*********************************************************
ROUND : 22 - TURN : 8
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     | (Cc)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |(Wwww)|-----|  (w)|     |     |
*********************************************************
ROUND : 23 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |  (C)|  (c)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |(Wwww)|-----|  (w)|     |     |
*********************************************************
ROUND : 23 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |  (C)|  (c)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |(Wwww)|-----|  (w)|     |     |
*********************************************************
ROUND : 23 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |  (C)|  (c)|
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |(Wwww)|-----|  (w)|     |     |
*********************************************************
ROUND : 23 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     | (Cc)|     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |(Wwww)|-----|  (w)|     |     |
*********************************************************
ROUND : 23 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     | (Cc)|     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|  (S)|     |     |     |     |     |     |     |  (w)|     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |(Www)|-----|  (w)|     |     |
*********************************************************
ROUND : 23 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     | (Cc)|     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|  (S)|     |     |     |     |     |     |     | (ww)|     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     | (Ww)|-----|  (w)|     |     |
*********************************************************
ROUND : 23 - TURN : 6
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     | (Cc)|     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|  (S)|     |     |     |     |     |     |     |(www)|     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |  (W)|-----|  (w)|     |     |
*********************************************************
ROUND : 23 - TURN : 7
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     | (Cc)|     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |  (w)|
    7|  (S)|     |     |     |     |     |     |     |(www)|     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |  (W)|  (w)|     |     |     |
*********************************************************
ROUND : 23 - TURN : 8
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     | (Cc)|     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |(www)|     |     |IIIII|  (w)|
    8|     |     |     |     |     |     |     |     |  (W)|  (w)|     |     |     |
